Iter,Chain1,Chain2
0,145.57586895084484,145.5775455843911
1,145.98428461836988,145.98596125191614
2,146.87610363005112,146.87778026359737
3,146.87610363005112,146.87778026359737
4,145.89516749460046,145.8968441281467
5,145.74899161833036,145.75066825187662
6,145.39320955117896,145.3948861847252
7,145.39320955117896,145.3948861847252
8,145.39320955117896,145.3948861847252
9,145.50273642324564,145.5044130567919
10,145.36288279689194,145.3645594304382
11,145.1587411063713,145.16041773991756
12,145.0956754012367,145.09735203478294
13,145.0956754012367,145.09735203478294
14,145.6610335890022,145.66271022254844
15,145.32524179150448,145.32691842505074
16,145.32524179150448,145.32691842505074
17,145.24952901112874,145.251205644675
18,145.5808348086048,145.58251144215106
19,145.88149228896717,145.88316892251342
20,145.88149228896717,145.88316892251342
21,145.88149228896717,145.88316892251342
22,146.06468389931877,146.06636053286502
23,145.28110985821982,145.28278649176607
24,145.49754675265663,145.49922338620289
25,144.802792901926,144.80446953547226
26,145.13963850922343,145.14131514276968
27,145.13963850922343,145.14131514276968
28,145.14992457274545,145.1516012062917
29,144.7927688419018,144.79444547544804
30,144.7927688419018,144.79444547544804
31,144.35791835027715,144.3595949838234
32,144.35791835027715,144.3595949838234
33,144.35791835027715,144.3595949838234
34,144.4621597751397,144.46383640868595
35,144.15145125246474,144.153127886011
36,143.98433053333977,143.98600716688603
37,143.9056609522823,143.90733758582854
38,143.96714853124953,143.9688251647958
39,143.96714853124953,143.9688251647958
40,144.5818451702549,144.58352180380115
41,144.5818451702549,144.58352180380115
42,145.21547546070198,145.21715209424823
43,145.21547546070198,145.21715209424823
44,145.21547546070198,145.21715209424823
45,145.71349335075692,145.71516998430317
46,145.90291915593775,145.904595789484
47,146.67342838691656,146.6751050204628
48,146.37672401669118,146.37840065023744
49,146.37672401669118,146.37840065023744
50,146.37672401669118,146.37840065023744
51,146.15219041278058,146.15386704632684
52,145.6498949033319,145.65157153687815
53,145.853751595998,145.85542822954426
54,146.11201885122148,146.11369548476773
55,146.11201885122148,146.11369548476773
56,146.24112253201994,146.2427991655662
57,146.21804588300856,146.2197225165548
58,146.21804588300856,146.2197225165548
59,146.1103503361823,146.11202696972856
60,145.15488954019634,145.1565661737426
61,145.30583265846758,145.30750929201383
62,145.30583265846758,145.30750929201383
63,145.10767454883765,145.1093511823839
64,144.84581744396732,144.84749407751357
65,145.05120869656412,145.05288533011037
66,145.0996467332111,145.10132336675736
67,145.651149177069,145.65282581061524
68,145.651149177069,145.65282581061524
69,145.5331721586977,145.53484879224396
70,144.79500997833793,144.79668661188418
71,145.17298498099012,145.17466161453638
72,145.17298498099012,145.17466161453638
73,145.63343118194257,145.63510781548882
74,145.4838729896295,145.48554962317576
75,145.75325520917949,145.75493184272574
76,145.96034772489745,145.9620243584437
77,146.0618718428952,146.06354847644144
78,145.7673714374023,145.76904807094854
79,145.4961750105125,145.49785164405876
80,145.78143935152278,145.78311598506903
81,146.26346026222674,146.265136895773
82,146.02913086682508,146.03080750037134
83,146.02913086682508,146.03080750037134
84,145.89606123511587,145.89773786866212
85,145.4638981251765,145.46557475872277
86,145.42580477674537,145.42748141029162
87,145.88234676502438,145.88402339857063
88,145.69590103515463,145.6975776687009
89,145.69590103515463,145.6975776687009
90,145.6498094571936,145.65148609073987
91,145.22040110732902,145.22207774087528
92,145.22040110732902,145.22207774087528
93,145.231340617313,145.23301725085926
94,144.79874017574565,144.8004168092919
95,144.44406900785376,144.4457456414
96,144.7441485048135,144.74582513835975
97,144.48336664989864,144.4850432834449
98,144.25893418271627,144.26061081626253
99,144.4335553333501,144.43523196689637
100,144.4335553333501,144.43523196689637
101,144.47579491564045,144.4774715491867
102,144.72292916904544,144.7246058025917
103,144.21246162811326,144.2141382616595
104,144.73045028847807,144.73212692202432
105,144.3911425351347,144.39281916868094
106,144.43212117911926,144.43379781266552
107,144.09465555225137,144.09633218579762
108,144.09465555225137,144.09633218579762
109,144.09465555225137,144.09633218579762
110,144.47440357588212,144.47608020942837
111,144.47440357588212,144.47608020942837
112,145.12765717818067,145.12933381172692
113,145.4477359516861,145.44941258523235
114,145.4477359516861,145.44941258523235
115,144.7744632571919,144.77613989073816
116,144.78103766869665,144.7827143022429
117,145.3325664094377,145.33424304298396
