Year,Well,Sick,Dead
0,1.0,0.0,0.0
1,0.9923838339574439,0.002,0.005616166042556103
2,0.9895662203607661,0.004176352585421337,0.006257427053812553
3,0.9865799523982047,0.006463009442973101,0.006957038158822217
4,0.9833669353565148,0.008809414122242887,0.007823650521242361
5,0.9799446631393771,0.011184520607946773,0.008870816252676127
6,0.9762888376223375,0.013568768077480973,0.010142394300181446
7,0.9724131121882595,0.015949869829089466,0.011637017982650903
8,0.9683223317445917,0.018319809058605835,0.013357859196802305
9,0.9640228203759811,0.020673197775687914,0.015303981848330891
10,0.9595190089310661,0.02300621033328868,0.017474780735645137
11,0.9548098055168116,0.025315864618180427,0.019874329865007957
12,0.9498855629781618,0.02759950548160228,0.022514931540235907
13,0.9447271867811338,0.029854444610219803,0.02541836860864642
14,0.9393110016992816,0.032077840555940026,0.02861115774477835
15,0.9336214398065558,0.03426695342471022,0.03211160676873397
16,0.9276545828463996,0.03641933667688581,0.03592608047671451
17,0.9214175112725052,0.03853295117675653,0.04004953755073812
18,0.9149210750076892,0.04060602591194813,0.04447289908036257
19,0.9081819577380402,0.042637171891057334,0.049180870370902255
20,0.901214678050673,0.04462511287670844,0.05416020907261833
21,0.8940255850099196,0.046568371197385786,0.0594060437926944
22,0.8866186729677146,0.048465412062596566,0.06491591496968867
23,0.8790023340137006,0.05031494409742518,0.07068272188887394
24,0.8711834635754198,0.05211568677015664,0.07670084965442335
25,0.8631671551582037,0.05386632941559398,0.08296651542620198
26,0.8549593823033487,0.05556565481382726,0.08947496288282376
27,0.8465650815453785,0.05721244316617971,0.09622247528844152
28,0.837987858500547,0.05880543850587022,0.10320670299358244
29,0.8292335076941689,0.06034355163298354,0.11042294067284716
30,0.8203112640171446,0.06182597951049862,0.11786275647235635
31,0.811229700880066,0.06325198088171957,0.12551831823821402
32,0.8019992605913158,0.06462103787599187,0.13337970153269196
33,0.792633158276329,0.06593294988127177,0.14143389184239888
34,0.783143623419452,0.06718759379483541,0.1496687827857122
35,0.7735390617830606,0.06838468233630954,0.15807625588062946
36,0.7638247638967692,0.06952375478938105,0.1666514813138493
37,0.7540033923038535,0.07060416975902369,0.17539243793712245
38,0.7440765468770729,0.0716252008706964,0.18429825225223018
39,0.7340456015362805,0.0725861004523341,0.19336829801138483
40,0.7239132759148627,0.07348624281246877,0.20260048127266808
41,0.7136778989578794,0.07432462806569551,0.21199747297642452
42,0.7033425017953623,0.07510065812397264,0.2215568400806644
43,0.6929181861528778,0.07581455145661038,0.23126726239051107
44,0.6824165822995045,0.07646673877719529,0.24111667892329944
45,0.6718411208198425,0.07705697347544484,0.2511019057047118
46,0.6611840325753348,0.07758386303095496,0.26123210439370936
47,0.6504305461384162,0.07804512065790417,0.27152433320367864
48,0.6395698704636801,0.07843865448645146,0.28199147504986743
49,0.6285967180724495,0.07876284185086145,0.29264044007668805
50,0.6175108709094954,0.0790165917350733,0.30347253735543034
51,0.6063173736408758,0.07919945392197691,0.3144831724371463
52,0.5950120087023476,0.079309993596126,0.32567799770152533
53,0.5835780341831598,0.07934520254095281,0.3370767632758864
54,0.5719892187075304,0.07930064269577317,0.34871013859669553
55,0.560223328724105,0.07917198525838913,0.36060468601750495
56,0.5482837082861893,0.07895787914635354,0.3727584125674561
57,0.5361762053212995,0.07865747387262073,0.38516632080607865
58,0.5238869972869176,0.07826747870690123,0.3978455240061801
59,0.5114069981732857,0.07778501319716614,0.410807988629547
60,0.49874346469960895,0.07720932324129232,0.4240472120590976
61,0.48591060934498215,0.07654080561293089,0.4375485850420859
62,0.47293481214795885,0.07578184046047605,0.45128334739156406
63,0.4598487520509475,0.07493614495722564,0.4652151029918257
64,0.4466804640183431,0.07400723246505568,0.4793123035166001
65,0.4334429648047633,0.0729967131668392,0.49356032202839634
66,0.42013859272530535,0.07190462367985147,0.5079567835948421
67,0.40672112667748234,0.07072341062015816,0.5225554627023583
68,0.39323301101118713,0.06945844081605436,0.5373085481727573
69,0.3796534432173452,0.06810594044537549,0.5522406163372781
70,0.3659833938042747,0.06666516086007043,0.5673514453356536
71,0.35224724211969105,0.06513923466317473,0.5826135232171329
72,0.33842756435496635,0.0635248153490242,0.5980476202960081
73,0.3244817029776202,0.06181386103650971,0.6137044359858688
74,0.3103776890178249,0.05999934208003918,0.6296229689021345
75,0.29606090419964576,0.05806983539695846,0.6458692604033944
76,0.2816658531305553,0.05604643545159379,0.6622877114178496
77,0.2668386365859007,0.05386584064333523,0.6792955227707628
78,0.2519448809093649,0.051587815113623876,0.69646730397701
79,0.2368115265092324,0.04918177025330711,0.7140067032374592
80,0.22167117102454467,0.04668834832659702,0.7316404806488571
81,0.2062349080847485,0.04405453704673399,0.7497105548685163
82,0.1907353735170144,0.04132040377629836,0.767944222706686
83,0.17519834966718545,0.03849161018705467,0.7863100401457587
84,0.15967829526775812,0.035579295752833945,0.8047424089794067
85,0.14435176629728935,0.03261972915893605,0.8230285045437734
86,0.12916506017217727,0.02960572104459778,0.8412292187832238
87,0.11447794308078343,0.026612773192844073,0.8589092837263712
88,0.10012827230610721,0.02361518648175553,0.8762565412121359
89,0.08630262550469345,0.020654994822308304,0.8930423796729969
90,0.0731900885413071,0.01777903384252353,0.9090308776161681
91,0.06097193819228222,0.015035749577151791,0.9239923122305648
92,0.049809543029698006,0.012471823870767396,0.9377186330995334
93,0.039831920647142804,0.010128676019121964,0.950039403333734
94,0.03112466001764154,0.008039118410434228,0.960836221571923
95,0.023722050412645433,0.0062245856284267875,0.9700533639589266
