Year,Well,Sick,Dead
0,1.0,0.0,0.0
1,0.968,0.002,0.03
2,0.936656,0.00405,0.05929399999999999
3,0.906024696,0.006067273999999999,0.08790803
4,0.87613401384,0.008006671481999999,0.115859314678
5,0.84699519078636,0.009844626842226,0.14316018237141398
6,0.8186097567799324,0.011569937516100018,0.1698203057039675
7,0.790973567277125,0.01317845225096477,0.19584798047191015
8,0.7640791338286065,0.014670015245296937,0.22125085092609642
9,0.7379169730490512,0.01604671007384121,0.24603631687710734
10,0.7124763901761925,0.01731185157585058,0.2702117582479567
11,0.6877459372615475,0.018469407635076693,0.2937846551033755
12,0.6637136842498239,0.019523667759299063,0.3167626479908766
13,0.6403673824706214,0.020479053205575897,0.33915356432380234
14,0.6176945662211162,0.02134000822385431,0.3609654255550291
15,0.595682618642101,0.02211093777180638,0.38220644358609207
16,0.5743188168974642,0.022796171860160773,0.4028850112423745
17,0.5535903652444342,0.023399945180026478,0.42300968957553886
18,0.5334844209014648,0.023926385527799424,0.4425891935707353
19,0.5139881155147313,0.024379507325458363,0.46163237715980976
20,0.49508857382111754,0.024763208123297,0.48014821805558494
21,0.4767729304194085,0.025081266878713766,0.4981458027018772
22,0.45902834517079394,0.025337343321149383,0.5156343115080562
23,0.44184201752791585,0.02553497800711765,0.5326230044649659
24,0.4252011999660158,0.02567759283627631,0.5491212071977073
25,0.4090932106188018,0.025768491894302737,0.5651382974868948
26,0.3935054451818209,0.025810862542143116,0.5806836922760353
27,0.3784253881239182,0.02580777670173899,0.5957668351743421
28,0.36384062323512867,0.025762192305690067,0.6103971844591806
29,0.34973884353272794,0.025676954888214268,0.624584201579057
30,0.3361078605436958,0.02555479930046134,0.6383373401558421
31,0.3229356129801251,0.025398351536562613,0.6516660354833116
32,0.31021017482334595,0.025210130658794502,0.6645796945178588
33,0.29791976283229016,0.02499255081148301,0.6770876863562261
34,0.2860527434916362,0.024747923314109924,0.6891993331942531
35,0.27459763941542115,0.02447845882468389,0.700923901759894
36,0.2635431352219931,0.024186269564914452,0.7122705952130914
37,0.25287808289637187,0.02387337159913172,0.7232485455044954
38,0.24259150665626172,0.023541687159260978,0.7338668061844762
39,0.23267260733810166,0.02319304700850701,0.7441343456533902
40,0.22311076631964855,0.022829192836736685,0.7540600408436137
41,0.21389554899565486,0.02245177968087536,0.7636526713234687
42,0.20501670782323464,0.022062378363954742,0.7729209138128095
